Date,Location,Weather,Visibility_m,Traffic_Density_vehicles_per_min,Accident_Occurred,Severity
2020-01-01 00:00:00,Bypass Road,Clear,31,10,0,Medium
2020-01-01 01:00:00,Sector 62,Fog,86,18,0,Medium
2020-01-01 02:00:00,Sector 16,Cloudy,49,39,0,Medium
2020-01-01 03:00:00,Bypass Road,Clear,115,51,0,Medium
2020-01-01 04:00:00,Highway 21,Rain,234,62,1,High
2020-01-01 05:00:00,Sector 16,Cloudy,213,69,0,Low
2020-01-01 06:00:00,Sector 16,Cloudy,154,23,0,Medium
2020-01-01 07:00:00,Bypass Road,Clear,51,61,0,Medium
2020-01-01 08:00:00,Intersection B,Fog,58,69,0,High
2020-01-01 09:00:00,Highway 21,Rain,225,17,0,Low
2020-01-01 10:00:00,Bypass Road,Cloudy,62,12,0,High
2020-01-01 11:00:00,Highway 21,Fog,278,22,0,High
2020-01-01 12:00:00,Highway 21,Rain,268,39,0,Medium
2020-01-01 13:00:00,Sector 16,Storm,93,30,0,Medium
2020-01-01 14:00:00,Sector 62,Storm,293,42,0,High
2020-01-01 15:00:00,Highway 21,Rain,209,70,0,Medium
2020-01-01 16:00:00,City Center,Clear,157,30,0,Medium
2020-01-01 17:00:00,Sector 16,Rain,185,61,0,Medium
2020-01-01 18:00:00,Intersection B,Rain,297,29,0,Low
2020-01-01 19:00:00,Sector 62,Clear,45,34,0,Low
2020-01-01 20:00:00,City Center,Clear,92,11,0,Medium
2020-01-01 21:00:00,City Center,Fog,134,31,1,High
2020-01-01 22:00:00,Intersection B,Fog,70,15,0,Low
2020-01-01 23:00:00,Sector 62,Clear,190,12,0,High
2020-01-02 00:00:00,Sector 16,Storm,287,15,0,Medium
2020-01-02 01:00:00,Intersection A,Storm,22,34,0,High
2020-01-02 02:00:00,Sector 62,Rain,229,19,0,High
2020-01-02 03:00:00,Intersection B,Cloudy,134,60,1,Low
2020-01-02 04:00:00,City Center,Rain,186,39,0,High
2020-01-02 05:00:00,Sector 16,Rain,284,43,0,High
2020-01-02 06:00:00,Sector 62,Cloudy,246,28,0,Low
2020-01-02 07:00:00,Intersection A,Clear,170,12,1,Medium
2020-01-02 08:00:00,Intersection A,Storm,287,47,0,High
2020-01-02 09:00:00,Highway 21,Rain,135,46,0,Medium
2020-01-02 10:00:00,Highway 21,Cloudy,107,45,1,Medium
2020-01-02 11:00:00,Bypass Road,Fog,261,51,0,Medium
2020-01-02 12:00:00,Intersection B,Rain,59,30,0,Low
2020-01-02 13:00:00,Sector 62,Storm,201,56,1,Medium
2020-01-02 14:00:00,Sector 62,Clear,228,26,0,High
2020-01-02 15:00:00,Bypass Road,Rain,292,9,0,Medium
2020-01-02 16:00:00,City Center,Rain,138,19,1,Medium
2020-01-02 17:00:00,City Center,Cloudy,43,40,1,Medium
2020-01-02 18:00:00,Bypass Road,Fog,277,67,0,High
2020-01-02 19:00:00,City Center,Fog,111,83,0,Medium
2020-01-02 20:00:00,Highway 21,Clear,180,53,0,Medium
2020-01-02 21:00:00,Sector 62,Storm,168,59,0,Medium
2020-01-02 22:00:00,Bypass Road,Clear,136,76,0,Low
2020-01-02 23:00:00,Sector 62,Rain,72,64,1,High
2020-01-03 00:00:00,Intersection A,Rain,64,61,0,Low
2020-01-03 01:00:00,Highway 21,Fog,284,33,0,High
2020-01-03 02:00:00,Sector 16,Storm,281,23,0,Medium
2020-01-03 03:00:00,Highway 21,Cloudy,253,77,1,High
2020-01-03 04:00:00,Bypass Road,Storm,54,14,0,High
2020-01-03 05:00:00,Sector 16,Rain,216,14,1,High
2020-01-03 06:00:00,Intersection A,Cloudy,44,61,1,High
2020-01-03 07:00:00,Bypass Road,Storm,221,58,1,Low
2020-01-03 08:00:00,Intersection B,Storm,292,60,1,High
2020-01-03 09:00:00,Sector 62,Cloudy,55,72,1,Low
2020-01-03 10:00:00,Intersection A,Rain,242,73,1,Low
2020-01-03 11:00:00,Sector 62,Storm,296,59,0,Medium
2020-01-03 12:00:00,City Center,Cloudy,37,73,0,High
2020-01-03 13:00:00,Intersection B,Rain,207,76,0,Medium
2020-01-03 14:00:00,Intersection B,Cloudy,276,5,0,High
2020-01-03 15:00:00,Intersection A,Cloudy,161,16,0,Low
2020-01-03 16:00:00,Intersection B,Storm,155,39,0,Low
2020-01-03 17:00:00,Sector 16,Rain,98,82,1,Low
2020-01-03 18:00:00,Intersection B,Storm,81,78,0,High
2020-01-03 19:00:00,Sector 62,Clear,148,83,0,High
2020-01-03 20:00:00,Sector 62,Clear,276,37,0,High
2020-01-03 21:00:00,Bypass Road,Rain,231,29,0,High
2020-01-03 22:00:00,Sector 62,Cloudy,73,20,0,High
2020-01-03 23:00:00,Bypass Road,Storm,194,12,1,Medium
2020-01-04 00:00:00,Sector 62,Storm,119,39,0,High
2020-01-04 01:00:00,Sector 16,Rain,58,50,0,Medium
2020-01-04 02:00:00,Bypass Road,Rain,282,15,0,High
2020-01-04 03:00:00,Highway 21,Clear,169,65,0,High
2020-01-04 04:00:00,City Center,Fog,140,48,1,High
2020-01-04 05:00:00,Intersection A,Rain,197,15,0,High
2020-01-04 06:00:00,Sector 62,Fog,139,15,1,Low
2020-01-04 07:00:00,Intersection B,Rain,91,26,0,Low
2020-01-04 08:00:00,Sector 62,Cloudy,238,66,0,Medium
2020-01-04 09:00:00,Intersection B,Cloudy,142,52,1,Medium
2020-01-04 10:00:00,City Center,Clear,263,67,1,High
2020-01-04 11:00:00,City Center,Clear,94,55,0,High
2020-01-04 12:00:00,City Center,Fog,25,49,0,High
2020-01-04 13:00:00,Intersection B,Rain,40,37,0,High
2020-01-04 14:00:00,Sector 62,Storm,209,64,0,Low
2020-01-04 15:00:00,City Center,Clear,244,6,0,Medium
2020-01-04 16:00:00,Sector 16,Storm,122,17,0,Medium
2020-01-04 17:00:00,Bypass Road,Storm,118,70,0,Medium
2020-01-04 18:00:00,Intersection B,Rain,102,61,0,Low
2020-01-04 19:00:00,Intersection B,Fog,200,47,0,High
2020-01-04 20:00:00,Sector 62,Rain,171,49,1,Low
2020-01-04 21:00:00,Intersection B,Clear,75,35,0,Low
2020-01-04 22:00:00,Intersection B,Storm,209,14,0,Medium
2020-01-04 23:00:00,City Center,Rain,41,27,0,Low
2020-01-05 00:00:00,Sector 62,Rain,87,33,0,Medium
2020-01-05 01:00:00,City Center,Rain,204,35,0,Low
2020-01-05 02:00:00,Bypass Road,Clear,29,82,0,Medium
2020-01-05 03:00:00,Bypass Road,Fog,85,78,0,Medium
2020-01-05 04:00:00,City Center,Rain,283,22,0,High
2020-01-05 05:00:00,Bypass Road,Clear,244,15,0,Medium
2020-01-05 06:00:00,Sector 62,Storm,142,51,0,Low
2020-01-05 07:00:00,Intersection A,Cloudy,57,7,0,Medium
2020-01-05 08:00:00,City Center,Clear,142,6,0,Low
2020-01-05 09:00:00,Sector 16,Cloudy,175,58,0,Medium
2020-01-05 10:00:00,Sector 16,Rain,86,76,0,High
2020-01-05 11:00:00,Intersection B,Rain,152,35,0,High
2020-01-05 12:00:00,Bypass Road,Clear,159,12,0,Low
2020-01-05 13:00:00,Sector 16,Cloudy,101,47,0,Medium
2020-01-05 14:00:00,Intersection B,Rain,77,52,0,Low
2020-01-05 15:00:00,Intersection A,Storm,168,6,0,High
2020-01-05 16:00:00,Sector 62,Fog,150,26,0,Low
2020-01-05 17:00:00,Sector 62,Fog,88,9,1,Low
2020-01-05 18:00:00,Sector 62,Rain,269,11,0,Medium
2020-01-05 19:00:00,Sector 16,Cloudy,196,24,0,High
2020-01-05 20:00:00,Intersection A,Rain,91,81,1,High
2020-01-05 21:00:00,Sector 16,Cloudy,36,6,0,Medium
2020-01-05 22:00:00,Bypass Road,Storm,179,36,0,Medium
2020-01-05 23:00:00,Sector 16,Cloudy,89,7,0,Medium
2020-01-06 00:00:00,Intersection A,Rain,132,45,0,High
2020-01-06 01:00:00,Intersection A,Storm,251,46,0,High
2020-01-06 02:00:00,Bypass Road,Clear,40,81,0,Medium
2020-01-06 03:00:00,Intersection A,Fog,154,49,0,Low
2020-01-06 04:00:00,Intersection A,Rain,282,75,0,High
2020-01-06 05:00:00,Sector 62,Rain,130,21,0,Medium
2020-01-06 06:00:00,Bypass Road,Rain,265,51,0,Medium
2020-01-06 07:00:00,Highway 21,Storm,27,73,1,Low
2020-01-06 08:00:00,Highway 21,Clear,226,28,0,Medium
2020-01-06 09:00:00,Intersection A,Cloudy,213,75,1,Low
2020-01-06 10:00:00,Highway 21,Clear,66,38,0,Low
2020-01-06 11:00:00,Highway 21,Storm,261,54,0,High
2020-01-06 12:00:00,Intersection A,Rain,29,46,0,Medium
2020-01-06 13:00:00,Highway 21,Fog,150,37,1,High
2020-01-06 14:00:00,Sector 16,Rain,289,31,0,High
2020-01-06 15:00:00,Intersection B,Cloudy,80,82,0,High
2020-01-06 16:00:00,Bypass Road,Fog,183,63,0,Medium
2020-01-06 17:00:00,Intersection B,Rain,32,23,0,Medium
2020-01-06 18:00:00,Intersection A,Fog,291,80,0,Medium
2020-01-06 19:00:00,Sector 62,Clear,227,7,0,High
2020-01-06 20:00:00,Bypass Road,Storm,265,75,1,Low
2020-01-06 21:00:00,Intersection A,Rain,152,29,1,High
